no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900,5,11.007997541000009,0.0036478749999560023,11.011645415999965
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900,5,11.047273708000034,0.00272129200004656,11.04999500000008
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900,5,10.850045541999975,0.0027483329999995476,10.852793874999975
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900,5,10.886479000000008,0.0027475419999518635,10.88922654199996
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,175457,,900,5,11.179844500000058,0.002808082999990802,11.18265258300005
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,175457,,900,5,10.925308250000057,0.0049012919999995574,10.930209542000057
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,175457,,900,5,10.894504167000036,0.004408415999932913,10.89891258299997
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,175457,,900,5,10.879524708999952,0.00542574999997214,10.884950458999924
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,175457,,900,5,11.019592124999917,0.004984292000017376,11.024576416999935
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,175457,,900,5,11.006433541999968,0.004551999999989675,11.010985541999958
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.393568208000147,0.00876691700000265,15.40233512500015
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.122642583000015,0.008220499999879394,15.130863082999895
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.24762987500003,0.009744791000002806,15.257374666000032
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.165979500000049,0.008129291999921406,15.17410879199997
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.193582542000058,0.010520832999873164,15.204103374999931
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1000,5,15.38115337499994,0.0028590000001713634,15.384012375000111
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1000,5,15.26884562500004,0.0029452920000494487,15.27179091700009
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1000,5,15.226014834000125,0.002680040999848643,15.228694874999974
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1000,5,15.22347962500021,0.0026419579999128473,15.226121583000122
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,241642,,1000,5,15.226417625000067,0.0025975420001032035,15.22901516700017
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.18513087500014,0.0055893749999995634,15.19072025000014
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.186926125000127,0.006532583999842245,15.19345870899997
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.191746416000115,0.006189083999970535,15.197935500000085
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,14.925101790999861,0.006788249999999607,14.93189004099986
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,241642,,1000,5,15.09956170800001,0.005987624999988839,15.105549332999999
